,sessionId,userId,item,type
0,Prolific Jan2021,5b80b3ba16aa4400016a75ef,Basic Commands,24.0
1,Prolific Jan2021,5b80b3ba16aa4400016a75ef,Challenge,1290.0
2,Prolific Jan2021,5b80b3ba16aa4400016a75ef,Combine,93.0
3,Prolific Jan2021,5b80b3ba16aa4400016a75ef,Function,27.0
4,Prolific Jan2021,5b80b3ba16aa4400016a75ef,ModifyMoves,3.0
5,Prolific Jan2021,5b80b3ba16aa4400016a75ef,Repeat,129.0
6,Prolific Jan2021,5b914a5f02a76000015c72d4,Basic Commands,48.0
7,Prolific Jan2021,5b914a5f02a76000015c72d4,Function,42.0
8,Prolific Jan2021,5b914a5f02a76000015c72d4,ModifyMoves,3.0
9,Prolific Jan2021,5b914a5f02a76000015c72d4,Repeat,210.0
10,Prolific Jan2021,5bc2e0ec4f3bfd00012e97b5,Basic Commands,21.0
11,Prolific Jan2021,5bc2e0ec4f3bfd00012e97b5,Challenge,465.0
12,Prolific Jan2021,5bc2e0ec4f3bfd00012e97b5,Combine,192.0
13,Prolific Jan2021,5bc2e0ec4f3bfd00012e97b5,Function,189.0
14,Prolific Jan2021,5bc2e0ec4f3bfd00012e97b5,ModifyMoves,12.0
15,Prolific Jan2021,5bc2e0ec4f3bfd00012e97b5,Repeat,537.0
16,Prolific Jan2021,5c102d91e32f860001651a93,Basic Commands,51.0
17,Prolific Jan2021,5c102d91e32f860001651a93,Challenge,1437.0
18,Prolific Jan2021,5c102d91e32f860001651a93,Combine,72.0
19,Prolific Jan2021,5c102d91e32f860001651a93,Function,18.0
20,Prolific Jan2021,5c102d91e32f860001651a93,ModifyMoves,3.0
21,Prolific Jan2021,5c102d91e32f860001651a93,Repeat,39.0
22,Prolific Jan2021,5c28efb626e55d0001a685b1,Basic Commands,18.0
23,Prolific Jan2021,5c28efb626e55d0001a685b1,Function,189.0
24,Prolific Jan2021,5c28efb626e55d0001a685b1,ModifyMoves,3.0
25,Prolific Jan2021,5c28efb626e55d0001a685b1,Repeat,333.0
26,Prolific Jan2021,5c44ad201ddd660001ca00b0,Basic Commands,30.0
27,Prolific Jan2021,5c44ad201ddd660001ca00b0,Challenge,552.0
28,Prolific Jan2021,5c44ad201ddd660001ca00b0,Combine,270.0
29,Prolific Jan2021,5c44ad201ddd660001ca00b0,Function,24.0
30,Prolific Jan2021,5c44ad201ddd660001ca00b0,ModifyMoves,3.0
31,Prolific Jan2021,5c44ad201ddd660001ca00b0,Repeat,129.0
32,Prolific Jan2021,5c7fb04093cdce00160adf49,Basic Commands,36.0
33,Prolific Jan2021,5c7fb04093cdce00160adf49,Challenge,357.0
34,Prolific Jan2021,5c7fb04093cdce00160adf49,Combine,69.0
35,Prolific Jan2021,5c7fb04093cdce00160adf49,Function,120.0
36,Prolific Jan2021,5c7fb04093cdce00160adf49,ModifyMoves,3.0
37,Prolific Jan2021,5c7fb04093cdce00160adf49,Repeat,357.0
38,Prolific Jan2021,5ca8c84e92fdc200129e9db3,Basic Commands,63.0
39,Prolific Jan2021,5ca8c84e92fdc200129e9db3,Function,120.0
40,Prolific Jan2021,5ca8c84e92fdc200129e9db3,ModifyMoves,15.0
41,Prolific Jan2021,5cfd119645e1a20001883ee6,Basic Commands,102.0
42,Prolific Jan2021,5cfd119645e1a20001883ee6,Challenge,564.0
43,Prolific Jan2021,5cfd119645e1a20001883ee6,Combine,135.0
44,Prolific Jan2021,5cfd119645e1a20001883ee6,Function,27.0
45,Prolific Jan2021,5cfd119645e1a20001883ee6,ModifyMoves,3.0
46,Prolific Jan2021,5cfd119645e1a20001883ee6,Repeat,501.0
47,Prolific Jan2021,5d694784be10f9001511d7a3,Basic Commands,75.0
48,Prolific Jan2021,5d694784be10f9001511d7a3,Challenge,900.0
49,Prolific Jan2021,5d694784be10f9001511d7a3,Combine,96.0
50,Prolific Jan2021,5d694784be10f9001511d7a3,Function,24.0
51,Prolific Jan2021,5d694784be10f9001511d7a3,ModifyMoves,3.0
52,Prolific Jan2021,5d694784be10f9001511d7a3,Repeat,216.0
53,Prolific Jan2021,5daec370e4688e00142ca236,Basic Commands,30.0
54,Prolific Jan2021,5daec370e4688e00142ca236,Challenge,573.0
55,Prolific Jan2021,5daec370e4688e00142ca236,Combine,87.0
56,Prolific Jan2021,5daec370e4688e00142ca236,Function,135.0
57,Prolific Jan2021,5daec370e4688e00142ca236,ModifyMoves,9.0
58,Prolific Jan2021,5daec370e4688e00142ca236,Repeat,231.0
59,Prolific Jan2021,5dd5105a82569a4c04723f7e,Basic Commands,45.0
60,Prolific Jan2021,5dd5105a82569a4c04723f7e,Challenge,1107.0
61,Prolific Jan2021,5dd5105a82569a4c04723f7e,Combine,33.0
62,Prolific Jan2021,5dd5105a82569a4c04723f7e,Function,27.0
63,Prolific Jan2021,5dd5105a82569a4c04723f7e,ModifyMoves,9.0
64,Prolific Jan2021,5dd5105a82569a4c04723f7e,Repeat,387.0
65,Prolific Jan2021,5dde8068332b34dd9047e51b,Basic Commands,36.0
66,Prolific Jan2021,5dde8068332b34dd9047e51b,Function,222.0
67,Prolific Jan2021,5dde8068332b34dd9047e51b,ModifyMoves,6.0
68,Prolific Jan2021,5de631043cf27959fe70269c,Basic Commands,36.0
69,Prolific Jan2021,5de631043cf27959fe70269c,Challenge,300.0
70,Prolific Jan2021,5de631043cf27959fe70269c,Combine,42.0
71,Prolific Jan2021,5de631043cf27959fe70269c,Function,12.0
72,Prolific Jan2021,5de631043cf27959fe70269c,ModifyMoves,3.0
73,Prolific Jan2021,5de631043cf27959fe70269c,Repeat,90.0
74,Prolific Jan2021,5e444fa46bcdba04dcf2d695,Basic Commands,39.0
75,Prolific Jan2021,5e444fa46bcdba04dcf2d695,Challenge,576.0
76,Prolific Jan2021,5e444fa46bcdba04dcf2d695,Combine,90.0
77,Prolific Jan2021,5e444fa46bcdba04dcf2d695,Function,30.0
78,Prolific Jan2021,5e444fa46bcdba04dcf2d695,ModifyMoves,24.0
79,Prolific Jan2021,5e444fa46bcdba04dcf2d695,Repeat,117.0
80,Prolific Jan2021,5e4c214a69cc03000caf6259,Basic Commands,24.0
81,Prolific Jan2021,5e4c214a69cc03000caf6259,Challenge,2100.0
82,Prolific Jan2021,5e4c214a69cc03000caf6259,Combine,99.0
83,Prolific Jan2021,5e4c214a69cc03000caf6259,Function,36.0
84,Prolific Jan2021,5e4c214a69cc03000caf6259,ModifyMoves,3.0
85,Prolific Jan2021,5e4c214a69cc03000caf6259,Repeat,87.0
86,Prolific Jan2021,5ec970f3e657d60c8e4db3a4,Basic Commands,111.0
87,Prolific Jan2021,5ec970f3e657d60c8e4db3a4,Challenge,657.0
88,Prolific Jan2021,5ec970f3e657d60c8e4db3a4,Combine,414.0
89,Prolific Jan2021,5ec970f3e657d60c8e4db3a4,Function,15.0
90,Prolific Jan2021,5ec970f3e657d60c8e4db3a4,ModifyMoves,3.0
91,Prolific Jan2021,5ec970f3e657d60c8e4db3a4,Repeat,261.0
92,Prolific Jan2021,5ed1717c9654ab0b17be2ceb,Basic Commands,78.0
93,Prolific Jan2021,5ed1717c9654ab0b17be2ceb,Challenge,1176.0
94,Prolific Jan2021,5ed1717c9654ab0b17be2ceb,Combine,51.0
95,Prolific Jan2021,5ed1717c9654ab0b17be2ceb,Function,51.0
96,Prolific Jan2021,5ed1717c9654ab0b17be2ceb,ModifyMoves,3.0
97,Prolific Jan2021,5ed1717c9654ab0b17be2ceb,Repeat,126.0
98,Prolific Jan2021,5eda126ec6a418029cb19e91,Basic Commands,18.0
99,Prolific Jan2021,5eda126ec6a418029cb19e91,Challenge,684.0
100,Prolific Jan2021,5eda126ec6a418029cb19e91,Function,99.0
101,Prolific Jan2021,5eda126ec6a418029cb19e91,ModifyMoves,3.0
102,Prolific Jan2021,5eda126ec6a418029cb19e91,Repeat,216.0
103,Prolific Jan2021,5eedb69308f7161ee954279d,Basic Commands,51.0
104,Prolific Jan2021,5eedb69308f7161ee954279d,Challenge,243.0
105,Prolific Jan2021,5eedb69308f7161ee954279d,Combine,99.0
106,Prolific Jan2021,5eedb69308f7161ee954279d,Function,111.0
107,Prolific Jan2021,5eedb69308f7161ee954279d,ModifyMoves,3.0
108,Prolific Jan2021,5eedb69308f7161ee954279d,Repeat,201.0
109,Prolific Jan2021,5efb2cae4187a504713a4081,Basic Commands,24.0
110,Prolific Jan2021,5efb2cae4187a504713a4081,Challenge,336.0
111,Prolific Jan2021,5efb2cae4187a504713a4081,Combine,33.0
112,Prolific Jan2021,5efb2cae4187a504713a4081,Function,24.0
113,Prolific Jan2021,5efb2cae4187a504713a4081,ModifyMoves,3.0
114,Prolific Jan2021,5efb2cae4187a504713a4081,Repeat,39.0
115,Prolific Jan2021,5f043ab655b1f267b94176b4,Basic Commands,51.0
116,Prolific Jan2021,5f043ab655b1f267b94176b4,Challenge,537.0
117,Prolific Jan2021,5f043ab655b1f267b94176b4,Combine,108.0
118,Prolific Jan2021,5f043ab655b1f267b94176b4,Function,18.0
119,Prolific Jan2021,5f043ab655b1f267b94176b4,ModifyMoves,3.0
120,Prolific Jan2021,5f043ab655b1f267b94176b4,Repeat,96.0
121,Prolific Jan2021,5f248b7b1bde03086270bd37,Basic Commands,57.0
122,Prolific Jan2021,5f248b7b1bde03086270bd37,Challenge,462.0
123,Prolific Jan2021,5f248b7b1bde03086270bd37,Combine,495.0
124,Prolific Jan2021,5f248b7b1bde03086270bd37,Function,30.0
125,Prolific Jan2021,5f248b7b1bde03086270bd37,ModifyMoves,3.0
126,Prolific Jan2021,5f248b7b1bde03086270bd37,Repeat,150.0
127,Prolific Jan2021,5f2ab8c4c46fc63609d8eedb,Basic Commands,36.0
128,Prolific Jan2021,5f2ab8c4c46fc63609d8eedb,Challenge,606.0
129,Prolific Jan2021,5f2ab8c4c46fc63609d8eedb,Combine,546.0
130,Prolific Jan2021,5f2ab8c4c46fc63609d8eedb,Function,174.0
131,Prolific Jan2021,5f2ab8c4c46fc63609d8eedb,ModifyMoves,30.0
132,Prolific Jan2021,5f2ab8c4c46fc63609d8eedb,Repeat,285.0
133,Prolific Jan2021,5f4bdd0445dcf109c307b90d,Basic Commands,18.0
134,Prolific Jan2021,5f4bdd0445dcf109c307b90d,Challenge,507.0
135,Prolific Jan2021,5f4bdd0445dcf109c307b90d,Combine,144.0
136,Prolific Jan2021,5f4bdd0445dcf109c307b90d,Function,21.0
137,Prolific Jan2021,5f4bdd0445dcf109c307b90d,ModifyMoves,3.0
138,Prolific Jan2021,5f4bdd0445dcf109c307b90d,Repeat,219.0
139,Prolific Jan2021,5f512f610a752a32cf96d74f,Basic Commands,135.0
140,Prolific Jan2021,5f512f610a752a32cf96d74f,Challenge,963.0
141,Prolific Jan2021,5f512f610a752a32cf96d74f,Combine,165.0
142,Prolific Jan2021,5f512f610a752a32cf96d74f,Function,156.0
143,Prolific Jan2021,5f512f610a752a32cf96d74f,ModifyMoves,33.0
144,Prolific Jan2021,5f512f610a752a32cf96d74f,Repeat,387.0
145,Prolific Jan2021,5f9bdffe42555942fbc9ca49,Basic Commands,24.0
146,Prolific Jan2021,5f9bdffe42555942fbc9ca49,Challenge,954.0
147,Prolific Jan2021,5f9bdffe42555942fbc9ca49,Combine,24.0
148,Prolific Jan2021,5f9bdffe42555942fbc9ca49,Function,72.0
149,Prolific Jan2021,5f9bdffe42555942fbc9ca49,ModifyMoves,42.0
150,Prolific Jan2021,5f9bdffe42555942fbc9ca49,Repeat,219.0
151,Prolific Jan2021,5fa2be9d820efd4e33eee9fc,Basic Commands,30.0
152,Prolific Jan2021,5fa2be9d820efd4e33eee9fc,Challenge,954.0
153,Prolific Jan2021,5fa2be9d820efd4e33eee9fc,Combine,159.0
154,Prolific Jan2021,5fa2be9d820efd4e33eee9fc,Function,45.0
155,Prolific Jan2021,5fa2be9d820efd4e33eee9fc,ModifyMoves,36.0
156,Prolific Jan2021,5fa2be9d820efd4e33eee9fc,Repeat,156.0
157,Prolific Jan2021,5fc0c541c266bd597b286e98,Basic Commands,93.0
158,Prolific Jan2021,5fc0c541c266bd597b286e98,Challenge,840.0
159,Prolific Jan2021,5fc0c541c266bd597b286e98,Combine,147.0
160,Prolific Jan2021,5fc0c541c266bd597b286e98,Function,12.0
161,Prolific Jan2021,5fc0c541c266bd597b286e98,ModifyMoves,3.0
162,Prolific Jan2021,5fc0c541c266bd597b286e98,Repeat,96.0
163,Prolific Jan2021,5fc3df4c86fa277559d373c2,Basic Commands,60.0
164,Prolific Jan2021,5fc3df4c86fa277559d373c2,Challenge,528.0
165,Prolific Jan2021,5fc3df4c86fa277559d373c2,Combine,129.0
166,Prolific Jan2021,5fc3df4c86fa277559d373c2,Function,12.0
167,Prolific Jan2021,5fc3df4c86fa277559d373c2,ModifyMoves,3.0
168,Prolific Jan2021,5fc3df4c86fa277559d373c2,Repeat,84.0
169,Prolific Jan2021,5fc8d1b43e9eb32a22d4da4d,Basic Commands,54.0
170,Prolific Jan2021,5fc8d1b43e9eb32a22d4da4d,Challenge,1104.0
171,Prolific Jan2021,5fc8d1b43e9eb32a22d4da4d,Combine,330.0
172,Prolific Jan2021,5fc8d1b43e9eb32a22d4da4d,Function,69.0
173,Prolific Jan2021,5fc8d1b43e9eb32a22d4da4d,ModifyMoves,3.0
174,Prolific Jan2021,5fc8d1b43e9eb32a22d4da4d,Repeat,564.0
175,Prolific Jan2021,5fdde74bfdb6e64c26da591a,Basic Commands,162.0
176,Prolific Jan2021,5fdde74bfdb6e64c26da591a,Challenge,372.0
177,Prolific Jan2021,5fdde74bfdb6e64c26da591a,Combine,123.0
178,Prolific Jan2021,5fdde74bfdb6e64c26da591a,Function,369.0
179,Prolific Jan2021,5fdde74bfdb6e64c26da591a,ModifyMoves,36.0
180,Prolific Jan2021,5fdde74bfdb6e64c26da591a,Repeat,375.0
181,Prolific Jan2021,5eda126ec6a418029cb19e91,Combine,
